NAAC,Current course,upskill,course_hs,Shares country_hs,ranking,salary
B++,BE in Datascience,Datascience,IT,US,35,64500
A+,PG in finance,Art,IT,GERMANY,142,50800
B++,B.Sc,none,IT,OTHER EUROPIAN COUNTRY,31,50900
NO GRADE,BCom,Datascience,IT,AUSTRALIA,69,58600
A++,BE in others,Art,Management,OTHER ASIAN COUNTRY,129,46600
B+,PG in HR,Art,IT,OTHER EUROPIAN COUNTRY,3,65200
A++,BCom,Art,IT,UK,87,52300
A,BCom,IT,others,OTHER EUROPIAN COUNTRY,3,55200
C,B.Sc,Finance,none,OTHER EUROPIAN COUNTRY,59,46100
A+,PG in HR,Managment,Engineering,UK,196,46400
A++,PG in Marketing,none,none,UK,115,41000
D,"BE in cse,electronics,IT,Telecom",Finance,Economics,UK,82,53800
A+,B.Sc,Datascience,Engineering,CANADA,1,58900
D,B.Sc,IT,IT,GERMANY,130,48500
D,CA,Art,others,UK,137,45300
NO GRADE,BA,Art,IT,US,34,63100
B++,"BE in cse,electronics,IT,Telecom",Datascience,Management,AUSTRALIA,119,54100
NO GRADE,PG in finance,Art,Management,CANADA,155,45000
A++,B.Sc,Datascience,others,OTHER EUROPIAN COUNTRY,59,49600
A,BA,Finance,others,UK,47,53800
D,BE in Datascience,none,Management,CANADA,60,50500
A+,BE in others,IT,Engineering,CANADA,194,41100
B+,B.Sc,Datascience,others,INDIA,47,54800
B,BE in Datascience,Datascience,none,AUSTRALIA,78,55200
A++,PG in datascience,Managment,others,US,127,49300
B+,BE in Datascience,IT,Finance,OTHER EUROPIAN COUNTRY,153,44700
B,CA,IT,IT,INDIA,68,59700
D,BCom,Finance,Economics,UK,183,41200
B+,PG in Marketing,Managment,Management,CANADA,53,55700
B,BCom,Art,Economics,UK,178,42700
A+,PG in HR,Datascience,others,UK,32,59800
D,"BE in cse,electronics,IT,Telecom",Datascience,Management,GERMANY,91,54900
A+,PG in finance,Datascience,Management,OTHER ASIAN COUNTRY,105,51000
B+,PG in Marketing,none,none,CANADA,78,43700
NO GRADE,BA,Finance,IT,none,47,55800
NO GRADE,PG in HR,Datascience,Engineering,OTHER ASIAN COUNTRY,57,59800
A,PG in finance,Finance,Economics,UK,94,52600
NO GRADE,B.Sc,none,Management,CANADA,104,41600
A,B.Sc,Art,Economics,AUSTRALIA,178,45200
NO GRADE,B.Sc,Finance,IT,GERMANY,63,54200
B,BE in others,Managment,Finance,OTHER EUROPIAN COUNTRY,130,45500
B++,BCom,Art,others,UK,2,56300
D,PG in datascience,Finance,Engineering,OTHER EUROPIAN COUNTRY,201,40400
D,BE in Datascience,Managment,Finance,CANADA,104,50100
C,BE in others,Finance,Engineering,CANADA,180,41500
A++,BA,Finance,Engineering,US,170,47500
A,BE in Datascience,Finance,Engineering,INDIA,125,53000
B++,PG in HR,Managment,Economics,GERMANY,47,63300
A+,PG in HR,IT,none,US,144,48600
NO GRADE,PG in finance,Datascience,Engineering,INDIA,152,51300
A,CA,IT,IT,OTHER ASIAN COUNTRY,66,55900
A++,CA,Art,Economics,CANADA,11,60900
A++,BA,Finance,none,CANADA,186,37400
B+,PG in datascience,IT,none,AUSTRALIA,142,46800
A,BE in others,Datascience,IT,US,11,64900
A++,CA,Managment,IT,CANADA,11,61900
B++,B.Sc,Datascience,Management,OTHER EUROPIAN COUNTRY,64,51600
A++,BE in Datascience,Finance,IT,AUSTRALIA,180,49000
A++,CA,Finance,Management,AUSTRALIA,10,63000
C,BCom,IT,none,OTHER EUROPIAN COUNTRY,23,51700
B+,PG in datascience,IT,IT,GERMANY,51,59900
B,PG in datascience,Datascience,Economics,none,77,53800
B++,B.Sc,none,Engineering,AUSTRALIA,127,44800
B+,PG in finance,Finance,none,AUSTRALIA,9,59100
B,BE in Datascience,Datascience,Economics,none,142,48300
A+,BA,Datascience,Management,US,113,54200
B++,CA,Finance,Engineering,AUSTRALIA,159,49100
B++,PG in HR,IT,Management,OTHER EUROPIAN COUNTRY,166,46900
B+,PG in HR,Finance,Economics,OTHER ASIAN COUNTRY,20,62000
A,PG in HR,Finance,none,none,54,51600
A,PG in Marketing,Finance,Finance,GERMANY,53,55200
A++,PG in HR,Finance,Engineering,CANADA,66,56900
A++,PG in HR,Art,IT,none,175,46500
